id,Level,asdf_id,gqid,shapeGroup,shapeID,shapeName,shapeType
"217",ADM2,"217","217",MEX,MEX-ADM2-50627088B35290767,Villa Corzo,ADM2
"218",ADM2,"218","218",MEX,MEX-ADM2-50627088B34965175,Venustiano Carranza,ADM2
"219",ADM2,"219","219",MEX,MEX-ADM2-50627088B30639266,Unión Juárez,ADM2
"220",ADM2,"220","220",MEX,MEX-ADM2-50627088B11760592,Tzimol,ADM2
"221",ADM2,"221","221",MEX,MEX-ADM2-50627088B96132798,Tuzantán,ADM2
"222",ADM2,"222","222",MEX,MEX-ADM2-50627088B83083231,Tumbalá,ADM2
"223",ADM2,"223","223",MEX,MEX-ADM2-50627088B45242749,Totolapa,ADM2
"224",ADM2,"224","224",MEX,MEX-ADM2-50627088B95464563,Teopisca,ADM2
"225",ADM2,"225","225",MEX,MEX-ADM2-50627088B96490558,Tenejapa,ADM2
"226",ADM2,"226","226",MEX,MEX-ADM2-50627088B58926408,Tapilula,ADM2
"227",ADM2,"227","227",MEX,MEX-ADM2-50627088B69984240,Suchiate,ADM2
"228",ADM2,"228","228",MEX,MEX-ADM2-50627088B75275254,Suchiapa,ADM2
"229",ADM2,"229","229",MEX,MEX-ADM2-50627088B28425677,Solosuchiapa,ADM2
"230",ADM2,"230","230",MEX,MEX-ADM2-50627088B48490099,Sitalá,ADM2
"231",ADM2,"231","231",MEX,MEX-ADM2-50627088B60572797,Simojovel,ADM2
"232",ADM2,"232","232",MEX,MEX-ADM2-50627088B40944436,Siltepec,ADM2
"233",ADM2,"233","233",MEX,MEX-ADM2-50627088B60163636,Salto de Agua,ADM2
"234",ADM2,"234","234",MEX,MEX-ADM2-50627088B25088941,Sabanilla,ADM2
"235",ADM2,"235","235",MEX,MEX-ADM2-50627088B22984605,Las Rosas,ADM2
"236",ADM2,"236","236",MEX,MEX-ADM2-50627088B32725700,Rayón,ADM2
"237",ADM2,"237","237",MEX,MEX-ADM2-50627088B11454684,Pueblo Nuevo Solistahuacán,ADM2
"238",ADM2,"238","238",MEX,MEX-ADM2-50627088B61409092,Villa Comaltitlán,ADM2
"239",ADM2,"239","239",MEX,MEX-ADM2-50627088B32525234,El Porvenir,ADM2
"240",ADM2,"240","240",MEX,MEX-ADM2-50627088B14010030,Pijijiapan,ADM2
"241",ADM2,"241","241",MEX,MEX-ADM2-50627088B29964199,Pichucalco,ADM2
"242",ADM2,"242","242",MEX,MEX-ADM2-50627088B66365122,Pantepec,ADM2
"243",ADM2,"243","243",MEX,MEX-ADM2-50627088B59519897,Pantelhó,ADM2
"244",ADM2,"244","244",MEX,MEX-ADM2-50627088B26847954,Palenque,ADM2
"245",ADM2,"245","245",MEX,MEX-ADM2-50627088B48004510,Oxchuc,ADM2
"246",ADM2,"246","246",MEX,MEX-ADM2-50627088B27502842,Osumacinta,ADM2
"247",ADM2,"247","247",MEX,MEX-ADM2-50627088B73298987,Nicolás Ruíz,ADM2
"248",ADM2,"248","248",MEX,MEX-ADM2-50627088B49575921,Motozintla,ADM2
"249",ADM2,"249","249",MEX,MEX-ADM2-50627088B1522000,Mitontic,ADM2
"250",ADM2,"250","250",MEX,MEX-ADM2-50627088B6170456,Mazatán,ADM2
"251",ADM2,"251","251",MEX,MEX-ADM2-50627088B37957327,Mazapa de Madero,ADM2
"252",ADM2,"252","252",MEX,MEX-ADM2-50627088B82915293,Las Margaritas,ADM2
"253",ADM2,"253","253",MEX,MEX-ADM2-50627088B61317553,Mapastepec,ADM2
"254",ADM2,"254","254",MEX,MEX-ADM2-50627088B94998875,Larráinzar,ADM2
"255",ADM2,"255","255",MEX,MEX-ADM2-50627088B65038397,Jitotol,ADM2
"256",ADM2,"256","256",MEX,MEX-ADM2-50627088B75957007,Ixtapangajoya,ADM2
"257",ADM2,"257","257",MEX,MEX-ADM2-50627088B73239741,Ixtapa,ADM2
"258",ADM2,"258","258",MEX,MEX-ADM2-50627088B43758214,Tila,ADM2
"259",ADM2,"259","259",MEX,MEX-ADM2-50627088B67563867,Soyaló,ADM2
"260",ADM2,"260","260",MEX,MEX-ADM2-50627088B45063192,Jiquipilas,ADM2
"261",ADM2,"261","261",MEX,MEX-ADM2-50627088B6005278,La Grandeza,ADM2
"262",ADM2,"262","262",MEX,MEX-ADM2-50627088B25607026,Bella Vista,ADM2
"263",ADM2,"263","263",MEX,MEX-ADM2-50627088B13170318,Ocozocoautla de Espinosa,ADM2
"264",ADM2,"264","264",MEX,MEX-ADM2-50627088B49154451,Cintalapa,ADM2
"265",ADM2,"265","265",MEX,MEX-ADM2-50627088B31397253,Socoltenango,ADM2
"266",ADM2,"266","266",MEX,MEX-ADM2-50627088B32940313,La Concordia,ADM2
"267",ADM2,"267","267",MEX,MEX-ADM2-50627088B73392077,Berriozábal,ADM2
"268",ADM2,"268","268",MEX,MEX-ADM2-50627088B63414897,San Cristóbal de las Casas,ADM2
"269",ADM2,"269","269",MEX,MEX-ADM2-50627088B40152538,Bachíniva,ADM2
"270",ADM2,"270","270",MEX,MEX-ADM2-50627088B39697205,Juárez,ADM2
"271",ADM2,"271","271",MEX,MEX-ADM2-50627088B91548911,Casas Grandes,ADM2
"272",ADM2,"272","272",MEX,MEX-ADM2-50627088B73219277,Nuevo Casas Grandes,ADM2
"273",ADM2,"273","273",MEX,MEX-ADM2-50627088B83415362,Praxedis G. Guerrero,ADM2
"274",ADM2,"274","274",MEX,MEX-ADM2-50627088B27702111,Ascensión,ADM2
"275",ADM2,"275","275",MEX,MEX-ADM2-50627088B44670012,Gómez Farías,ADM2
"276",ADM2,"276","276",MEX,MEX-ADM2-50627088B94729573,Chínipas,ADM2
"277",ADM2,"277","277",MEX,MEX-ADM2-50627088B17371788,Galeana,ADM2
"278",ADM2,"278","278",MEX,MEX-ADM2-50627088B23803475,Guadalupe,ADM2
"279",ADM2,"279","279",MEX,MEX-ADM2-50627088B56116764,Guazapares,ADM2
"280",ADM2,"280","280",MEX,MEX-ADM2-50627088B89805681,Janos,ADM2
"281",ADM2,"281","281",MEX,MEX-ADM2-50627088B10552868,Madera,ADM2
"282",ADM2,"282","282",MEX,MEX-ADM2-50627088B46046850,Maguarichi,ADM2
"283",ADM2,"283","283",MEX,MEX-ADM2-50627088B21194905,Matachí,ADM2
"284",ADM2,"284","284",MEX,MEX-ADM2-50627088B34137345,Ocampo,ADM2
"285",ADM2,"285","285",MEX,MEX-ADM2-50627088B94553823,Temósachic,ADM2
"286",ADM2,"286","286",MEX,MEX-ADM2-50627088B10536017,Urique,ADM2
"287",ADM2,"287","287",MEX,MEX-ADM2-50627088B96470140,Uruachi,ADM2
"288",ADM2,"288","288",MEX,MEX-ADM2-50627088B23562083,Guadalupe y Calvo,ADM2
"289",ADM2,"289","289",MEX,MEX-ADM2-50627088B55624175,Morelos,ADM2
"290",ADM2,"290","290",MEX,MEX-ADM2-50627088B97543096,Moris,ADM2
"291",ADM2,"291","291",MEX,MEX-ADM2-50627088B48698424,Aldama,ADM2
"292",ADM2,"292","292",MEX,MEX-ADM2-50627088B83605455,Rosales,ADM2
"293",ADM2,"293","293",MEX,MEX-ADM2-50627088B84577150,Delicias,ADM2
"294",ADM2,"294","294",MEX,MEX-ADM2-50627088B44415461,Meoqui,ADM2
"295",ADM2,"295","295",MEX,MEX-ADM2-50627088B85575393,Ahumada,ADM2
"296",ADM2,"296","296",MEX,MEX-ADM2-50627088B65903980,Cuauhtémoc,ADM2
"297",ADM2,"297","297",MEX,MEX-ADM2-50627088B75001332,Riva Palacio,ADM2
